file, node, verticies, defect, ratio, # of polygons, # of sides
OA_1_C001H001S0001000001.jpg, 135, 416, 3.583198e-02, 6.074051e-01, 75, 5.546667e+00 
OA_2_C001H001S0001000001.jpg, 5, 16, -1, 8.862426e-02, 5, 3.200000e+00 
OA_3_C001H001S0001000001.jpg, -1, -1, -1, -1, -1, -1 
OA_4_C001H001S0001000001.jpg, 16, 50, -1, 5.302070e-01, 11, 4.545455e+00 
OA_5_C001H001S0001000001.jpg, 14, 44, -1, 5.160435e-01, 10, 4.400000e+00 
OA_6_C001H001S0001000001.jpg, 39, 120, -1, 4.920441e-01, 23, 5.217391e+00 
OA_7_C001H001S0001000001.jpg, 24, 74, -1, 3.152998e-01, 15, 4.933333e+00 
OB_1_C001H001S0001000001.jpg, 570, 1746, 1.649960e-01, 2.888067e-01, 305, 5.724590e+00 
OB_2_C001H001S0001000001.jpg, 121, 378, 1.998397e-02, 4.177883e-01, 70, 5.400000e+00 
OB_3_C001H001S0001000001.jpg, 2, 6, -1, -1, 3, 2 
OB_4_C001H001S0001000001.jpg, -1, -1, -1, -1, -1, -1 
OB_5_C001H001S0001000001.jpg, 13, 40, -1, 3.588890e-01, 9, 4.444444e+00 
OB_6_C001H001S0001000001.jpg, 44, 136, -1, 5.090888e-01, 26, 5.230769e+00 
OB_7_C001H001S0001000001.jpg, 14, 46, -1, 5.151190e-01, 11, 4.181818e+00 
OC_1_C001H001S0001000001.jpg, 972, 2958, 1.178075e-01, 3.886156e-01, 509, 5.811395e+00 
OC_2_C001H001S0001000001.jpg, 47, 146, -1, 5.373977e-01, 28, 5.214286e+00 
OC_3_C001H001S0001000001.jpg, 116, 358, 3.796077e-02, 5.241186e-01, 65, 5.507692e+00 
OC_4_C001H001S0001000001.jpg, 55, 170, -1, 5.153960e-01, 32, 5.312500e+00 
OC_5_C001H001S0001000001.jpg, 37, 114, 1.918454e-01, 3.743757e-01, 22, 5.181818e+00 
OC_6_C001H001S0001000001.jpg, 67, 208, 1.072160e-01, 5.029521e-01, 39, 5.333333e+00 
OC_7_C001H001S0001000001.jpg, 26, 84, -1, 4.462987e-01, 18, 4.666667e+00 
OD_1_C001H001S0001000001.jpg, 866, 2628, 2.138323e-01, 5.850602e-01, 450, 5.840000e+00 
OD_2_C001H001S0001000001.jpg, 927, 2816, 9.263513e-02, 5.994750e-01, 483, 5.830228e+00 
OD_3_C001H001S0001000001.jpg, 1265, 3842, 1.512490e-01, 5.844969e-01, 658, 5.838906e+00 
OD_4_C001H001S0001000001.jpg, 1058, 3214, 1.537283e-01, 5.827971e-01, 551, 5.833031e+00 
OD_5_C001H001S0001000001.jpg, 1170, 3542, 9.330605e-02, 5.994798e-01, 603, 5.873964e+00 
OD_6_C001H001S0001000001.jpg, 1383, 4184, 9.838060e-02, 5.886031e-01, 711, 5.884669e+00 
OD_7_C001H001S0001000001.jpg, 453, 1374, 1.380122e-01, 5.888557e-01, 236, 5.822034e+00 
OE_1_C001H001S0001000001.jpg, 1503, 4600, 2.206723e-01, 5.582122e-01, 799, 5.757196e+00 
OE_2_C001H001S0001000001.jpg, 1781, 5422, 1.416893e-01, 5.934343e-01, 932, 5.817597e+00 
OE_3_C001H001S0001000001.jpg, 15848, 47830, 8.616108e-02, 6.583268e-01, 8069, 5.927624e+00 
OE_4_C001H001S0001000001.jpg, 14014, 42284, 9.390815e-02, 6.674652e-01, 7130, 5.930435e+00 
OE_5_C001H001S0001000001.jpg, 1675, 5088, 7.655296e-02, 5.848937e-01, 871, 5.841561e+00 
OE_6_C001H001S0001000001.jpg, 1535, 4674, 1.020802e-01, 5.871871e-01, 804, 5.813433e+00 
OE_7_C001H001S0001000001.jpg, 1094, 3322, 1.289097e-01, 5.705226e-01, 569, 5.838313e+00 
OF_1_C001H001S0001000001.jpg, 2019, 6146, 1.247183e-01, 5.671559e-01, 1056, 5.820076e+00 
OF_2_C001H001S0001000001.jpg, 8166, 24642, 9.414997e-02, 6.195223e-01, 4157, 5.927833e+00 
OF_3_C001H001S0001000001.jpg, 2365, 7194, 1.534309e-01, 5.588194e-01, 1234, 5.829822e+00 
OF_4_C001H001S0001000001.jpg, 1734, 5282, 1.362917e-01, 5.919512e-01, 909, 5.810781e+00 
OF_5_C001H001S0001000001.jpg, 2143, 6522, 1.028639e-01, 5.567213e-01, 1120, 5.823214e+00 
OF_6_C001H001S0001000001.jpg, 6175, 18662, 1.008923e-01, 6.074067e-01, 3158, 5.909436e+00 
OF_7_C001H001S0001000001.jpg, 3261, 9874, 1.406991e-01, 5.939219e-01, 1678, 5.884386e+00 
